age,order,title,author,publisher
3,1,パンダ銭湯,tupera tupera,絵本館
3,2,ぜったいにおしちゃダメ?,ビル・コッター,サンクチュアリ出版
3,3,くだものだもの,石津ちひろ,福音館書店
3,4,これはのみのぴこ,谷川俊太郎,サンリード
6,1,おこだでませんように,くすのきしげのり,小学館
6,2,ちょっとだけ,瀧村有子,福音館書店
6,3,ええところ,くすのきしげのり,学研教育出版
6,4,おじいちゃんのごくらくごくらく,西本鶏介,鈴木出版
6,5,せかいでいちばんつよい国,デビッド・マッキー,光村教育図書
6,6,ちいさなあなたへ,アリスン・マギー,主婦の友社
10,1,二分間の冒険,岡田淳,偕成社
10,3,竜退治の騎士になる方法,岡田淳,偕成社
10,4,扉のむこうの物語,岡田淳,理論社
10,6,放課後の時間割,岡田淳,偕成社
10,7,夜の小学校で,岡田淳,偕成社
10,8,フングリコングリ 図工室のおはなし会,岡田淳,偕成社
10,9,願いのかなうまがり角,岡田淳,偕成社
3,5,おべんとうバス,真珠まりこ,ひさかたチャイルド
3,6,コップちゃん,中川ひろたか,ブロンズ新社
3,7,ねないこだれだ,せなけいこ,福音館書店
6,7,はじめてのおつかい,筒井頼子,福音館書店
6,8,100かいだてのいえ,いわいとしお,偕成社
6,9,くれよんのくろくん,なかやみわ,童心社
10,10,ふしぎの時間割,岡田淳,偕成社
10,11,図書館からの冒険,岡田淳,偕成社
10,12,星モグラサンジの伝説,岡田淳,理論社
